title,desc,date,datetime,link,img,media,site,reporter,processed,is_fatality,deceased_name,deceased_age,date_of_occurrence
Story map: Play it safe,,"Aug 14, 2018",,https://news.google.com/read/CBMiYEFVX3lxTFBPN2pwb2MtaDJIRTVJQ2FSbmctdjY2ZEs4Rnc0dVBPMVhWUmY3VkdXdGJHWkx3QjlCcFFzb3pNUlQyNlRlcUZVakNGOVdPalpyY3plZzhRT1lrNVZKS0dlRA?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNTFRV1JyVnpWM1NXTmFTWGQ0VFJDZkF4ampCU2dLTWdZOUFZVDBqQWs=-w200-h112-p-df,National Oceanic and Atmospheric Administration (.gov),,,,,,,
A boy was swept into the ocean. His story reveals the hidden danger of California’s sneaker waves,,"Apr 29, 2021",,https://news.google.com/read/CBMilgFBVV95cUxOdGhWeE82VkF2ZFB3cUR1cjlUN3BKaERDN29ieVJmR1RtV21XRFRkcTdsUXVnLTlULVdMeG1kZFlHd2tEdkp3b1JhOThsLU5OM1czbDFwT1lVTVhFMEVTNlFWOFFXVk5QU3pjZ0pvUGQ4em9BcTdWVm1BMUpzQWd4b1hvRWxJZ3hMTDNsUDF2STR3TmpqeWc?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNVRTMFpIYjJzNFJsaE5SV040VFJERUF4aW1CU2dLTWdiUklKYVhtQWs=-w200-h112-p-df,San Francisco Chronicle,,By Nora Mishanec,,,,,
"Rip current risks especially high during July Fourth weekend, officials say",,"Jul 4, 2024",,https://news.google.com/read/CBMikwFBVV95cUxNZE1IVnlKbnNBeXg5dUhrbVIxMDZJWklIYWlZYkNqZlU1enktVUhBMk9JVUhKQmwwSUhCWjVJdHF3NDRNN1kzZnhRQm1scHNBUkp6Qzh6dnIzQ2hhM056NDk5a3NZRkdsWjlfaHJFZEpnRmVfNVA3YVUtVGtnUDRGaVpubGh3WEZ6bS1VRy03RGNtS00?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNU5hVWxFVXpSaVEwUkhhVFozVFJERUF4aW1CU2dLTWdNQnlCZw=-w200-h112-p-df,The Washington Post,,By Dan Stillman,,,,,
How to stay safe from sneaker waves,,"Mar 28, 2019",,https://news.google.com/read/CBMif0FVX3lxTE5UVDNReTJRMHU3aGV1MVVTaFc3M3ZGbGtMVWZJMGUwSGdrMUdOTjBiMGlTd0VfQmZab0JnXzg3RnlDRVlIN0UyamZNNWVTcmtNNXpaa0dFeWhFQzJXcWo2TXhaNlQ1bW9wXzE0S3Y5YkJWZFRIaG8wUXgtVmoyVjQ?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHRXRzFxVEVaNWFYSmpWM0ZOVFJERUF4aW1CU2dLTWdZdE00R1AyUUU=-w200-h112-p-df,SFGATE,,,,,,,
"Beach Safety: Waves, Rip Currents and Other Beach Dangers",,"May 26, 2023",,https://news.google.com/read/CBMihwFBVV95cUxQdklDZWlTZUJPeU1VYTBTOWJlRFN3MlhSVVhvaVkxSGNMQ1phSlFZcmtaOHZUdHNJTE1ORDFLTVhWamVIVDdldnhhNmJLbFFVZHVRX0YxUUljS0JjT1drMmJWaUFLbm1jMnVtbFBTWkJ5aGNNMzRhNy1EUUFGQmdjcXcwY0xYbXc?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUthR0ZpYW5jeE9GZDBVSEpPVFJDUUF4akhCU2dLTWdhQk5JaU9KUWc=-w200-h112-p-df,WeatherBug,,,,,,,
"Sneaker wave warning issued for Sonoma Coast days after girl, 4, drowns at Point Reyes",,"Dec 1, 2020",,https://news.google.com/read/CBMiqAFBVV95cUxQZmRBb3FUbWkxMjNmTW1ackVVSjZzVjB6QkNYZXFfblFzM2pFNHFzVUstcmRUOS1qVVFoeG5WMVVvSW9rSWJ0dnQ0MjdKUjhLbXRuYjNQZEJvc2JWRDZ4b210RDV5LXF3VWtGZkNpWjdpT19ERFFweW1RczBNeVdybGJxeWJkMG1XSEk3c2Q5S2ZFOFQzeHQ2ZWxibWZPZDhPQW1lN0UzR0Q?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNUdlamhzWmtKUmRtTXpkRlZHVFJDMEF4aV9CU2dLTWdrQlFJSjFyT2VLaUFJ=-w200-h112-p-df,The Press Democrat,,By Kaylee Tornay,,,,,
People keep dying at this Bay Area beach. Are officials doing enough?,,Feb 2,,https://news.google.com/read/CBMilAFBVV95cUxNN1RHNkZQN3ZfZHBwR2pQbUlfSTdKQWg2ZHNvQXRuSW4zWXdwMXdyclUxVUJVdGxRUFhVOXR2S3FWTVF0c2RjdGZ0UW5LMGtSbTcxNTZKZXpQX2kzLUdVUjFPa1lfVE80ZHQzaG1Zd2g5c3FCX1pmMlAxcC0zWHIwUjVoU2paUlFmcS1obFJ5TVFuU3ot?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNUJiMVJUYjJSak4xUjVRa3BRVFJDZ0FSandBU2dCTWdZMUVJYlNRQU0=-w200-h112-p-df,San Francisco Chronicle,,By Nora Mishanec,,,,,
"Don’t Make Me Cry ~ Multi-Jurisdiction Water Rescue at Ross’ Cove, 1 Adult, 2 Kids",,"Jan 19, 2021",,https://news.google.com/read/CBMipgFBVV95cUxNcVBkNEpqN3hfUEt0N1hiam9jRF95OWlpWmdORkZtRUF3VG5SOXNycFpFbDJMSXJOUXJMOTlYNEdMUmZHclh6ckJ6RDk5Y1VJbEhxSUtWbXQ4X0JJNjRGSEFBb1MxaGU3T1FTTkc0dFJKS2M0TGVvWGpfT29WYzk2VTM1d0hXZUFhRVc5bUd4VzNfcEF3SXJXSDhrLTBiU0xadmJqenNR?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iL0NnNURhQzFPTjJOVGFHVm1ZemR3VFJEX0FoaWdCaWdLTWdrQmtJb05OU1dhY1FF=-w200-h112-p-df,coastside buzz,,,,,,,
Pacifica man drowns trying to save wife swept out by big waves,,"Feb 9, 2016",,https://news.google.com/read/CBMitgFBVV95cUxOa2Y0cEVmUml6UGxXZzhrLXJKRUNvNm5RU0lvV1IxUk9vVWJCMTBtX2tMU0lzemVLeWlRTmZWMGREejdCWDFHMGZEajFMcXdxbmtqbjl3SWFoZzhHYU11RU1lWXFlcEhoWVRxRnlQWU9fRWVfWGNLcXkwOGVfazZpck5vSmJfcVJQcFBTVEJYbmtQdF96R2lyNHhEb0c5dy1uZXpFLW5OODJ4LUxlcHBMVkFTMEo4Zw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNDFZVWhVYlY4MVIwNWFSRGczVFJDZkF4ampCU2dLTWdOaFVCSQ=-w200-h112-p-df,ABC7 San Francisco,,By Cornell Barnard,,,,,
Officials demonstrate water rescue at San Francisco's Ocean Beach,,"May 8, 2020",,https://news.google.com/read/CBMikwFBVV95cUxQRTV1eGFseG9PZENzUVliMDI4ZUZqZWlVSFR3blBNY0Z4djMxUWlpdW81U1d2SW01RGctR29wRklaSk1RVHBEYk56WE44WXl2OUFNRXM3N0J5VHRuQUpReEtnbVN3dzczbzZ3MUZyMHVIVWx5QXVKQ0hFVUZTQ1Q1dVVyaTNKR2hxTHFVZ0tqWUc3bzTSAZgBQVVfeXFMTnB5ZUd5X1BNU2I1U3N5Wld5dUJMeVpjaXlIdFI0MkM0NXpxZWxmWmZnXzN2S2FaeV95T1JUYW9vOVg0bEN5UmNvdkcwRWNOWFdwM0E0cG41MWpBNVRTajRBLUFWLUhNc0g3Qy1SeTJpMjJUTlY1SHV6WW1XUzZ4ODdycy1Pa2YwMXd6VmpQU2o4M01JRk85aGo?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNU5iRTV6ZUdkaVRqVjNkUzFWVFJDZkF4ampCU2dLTWdhcHBKTE91UVk=-w200-h112-p-df,ABC7 San Francisco,,,,,,,
Beach Hazards In Laguna Beach Over 4th of July Week,,"Jul 2, 2019",,https://news.google.com/read/CBMijwFBVV95cUxNWFZQVVM5VnBmSTVuaFNna2hDM2VkOXI2a0pTTzY0aDZYZEh6T1lhMHRNM1kzeGJoWnNqalBfaHhzTFVpMWhkVlR6Q29zZ01UZTRudTBreko2czIzcnB6ci1PNVBKWFBCU2dRZW1WMWpQczVjeXhMNktrN195M1J1dm1vWk5tem8tdDU5Y2Y0aw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNW1aVmRHWlVOd1gzTTFXbWRrVFJEZ0F4aUFCU2dLTWdZeDVZeXZ5UVE=-w200-h112-p-df,Patch,,By Ashley Elizabeth Ludwig,,,,,
The number of lifeguard agencies reporting to the United States...,,"Feb 23, 2019",,https://news.google.com/read/CBMi0wFBVV95cUxNc3BCTjlfZmNMV1hiVGhzb3M2WXZtMEhHaXpBa2dUM05ydk5jTmpQeHo5MHdRZjlDam9HcWp3OTJUU0NocnRObmN0UHhER0c3Y3l4amxFRXZYTTZxNVRrOFhBQnJPUnNzQkVJcDJDc2l3OUJZQ2FEZ01hV3FWNzdIWUN6NkpVZVBVV2dzSTlubGFMWTRBZ29HLWo2TEtxTFVPdFBuaEViYlZ6Z1hHVk9HeHJ4c0tRWmU1Nm5jaVZMZnh6TEpzd1IwZUl4MHR1YmlEOVZF?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNUdjMUJJVVdSSmVUbENVREp2VFJDQkF4aWNCaWdLTWdNQmNBdw=-w200-h112-p-df,ResearchGate,,,,,,,
Panama City Beach leads the nation in 2023 beach deaths as 3 more tourists die Saturday,,"Jun 26, 2023",,https://news.google.com/read/CBMiuwFBVV95cUxOeDY2MHVVbzhScjd6c3ZjOGkxcjlSaUFUelZmbzUtTTdzWC12RDBMS3I1S21PdDR1Q0lzZThQaTlvb0ZhcWRUYWp4bmVyNkR5YWNSbTh5Z3BKUVJtVTNuc3JXUkFoLXFEV0c5d3BRQVdha1p3clo2dlZVX3l4WjFGdm1Ba2lqcGNjemNjM1NZcnowZTZ5bTNOQmZOUzN1X0pmYS1FMzBwQjMyM1lSZXdUYkJMUTJKT2p0T0Nj?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNHRUbGgyWW05WlVGcDRNek54VFJDbUJSakVBeWdLTWdZRkpJUU1RZ1k=-w200-h112-p-df,USA Today,,By Nathan Cobb & Dinah Voyles Pulver,,,,,
California's deadliest beach is in the Bay Area,,"Sep 28, 2018",,https://news.google.com/read/CBMioAFBVV95cUxNcTh3YjViQ2xuVTNYTWxxSnRycVpfY1FJYkFYd3RDY0JZYWlzQ2pod24zMWZEOHA1QmtldVNsb1MwTXdfNFM5TUc5a043MnJfWktFN25ndkxvdkE4NG5jUTBfeUVqZHMxQ0lrX2dnVTk3M1BIRXRKTTJULU85OS1Lb2hHNVZHdUh6aEF2S2pqUFlwekZUMW95RW9Ea3g1dHUw?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNVVVMHR5ZUVSMWMxWlVOa3BrVFJERUF4aW1CU2dLTWdNQndCQQ=-w200-h112-p-df,SFGATE,,By Ted Andersen,,,,,
Waves of death: Nine have perished from hazards common to Bay Area beaches,,"Jan 29, 2021",,https://news.google.com/read/CBMiswFBVV95cUxQTzdmSHdacUluejdYRnBrZzd0MjVaR18xSWhKd1FkWU1mWHRyLWZiMVZhUkZqay1tUGFrXzRuS2U2dlI0QTlNZ1Y5V0theENXUXdtbHA0TDQ2R0pNVjlQVXdydm5MakpDd3piNUNMajMzTVhKN0EwUzNfbktQQ3ZDNUxvZnVvMjhDSVJ4YlRMM1BmakE0X1R3QXZpdmJUQ1lfZ19zQ0x2MmVUMjVBNDM1RHJXWdIBuAFBVV95cUxQdElDSTNHek54MFNGek5VVExJaVV6Rlc1UFJ2cmZiS2Jaa0puU1Y3Zi1lclc2T25NMEJjYWdhVld6OURSWS1OVW83RmF6MThsRzVva1dCUHE0cUN6SFp0UmxwWW54REtOeEVabmpwaUVybTRUS3BsSjJEaVp1bXNxM2hzUGRycTJVTXdyd3dUMXpmaGNwY0Q5N1QtMFpOUkxFcEZlbnB0MHotT3REVlJMQ2E0R0hRVmNX?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iK0NnNXlkelIyVVVkemNYTTVhRnAyVFJERUF4aW1CU2dLTWdhWk1aVHJHUWs=-w200-h112-p-df,The Mercury News,,By Martha Ross,,,,,
"Oregon Coast Beach Deaths May Be Declining, But Problems Loom",,"Jan 10, 2007",,https://news.google.com/read/CBMiZEFVX3lxTE5RcWxTYzc4V1FJRFRvS2sxX3dXUVlNeGlxaXN0QlpTSVVNYjZkZjg2MFY4R2ZCRGJoS1RmVmxjNzdibmd0ejJLWEZUSGN0Zlk5bDFGanZPR3d3T1g3ajFZTkVza1I?hl=en-US&gl=US&ceid=US%3Aen,https://news.google.com/api/attachments/CC8iJ0NnNXVXa0pyUW05M2VtaHNhbmxmVFJDdEFSam1BU2dLTWdNZDhCSQ=-w200-h112-p-df,Oregon Coast Beach Connection,,,,,,,
